"tqpkiprofara01","tqpkiprofara02","tqpkiprofara03","tqpkiprofara04","srv_ac","aras_cpn","ar_mediador","cpcewprojbos01","cpcewprojbos02","srv_ar","tqbznprowebc02","tqbznprowebc03","tqbznprowebc04","tqbznprowebc05","tqbznprowebc06","tqbznprowebc07","tqbznprowebc08","tqbznprowebc09","tqbznprowebc10","tqbznprowebc11","tqbznprowebc12","tqbznprowebc13","tqbznprowebc14","tqbznprowebc15","tqrfcprowebl21","tqrfcprowebl22","tqrfcprowebl23","tqrfcprowebl24","tqrfcprowebl26","tqrfcprowebl27","tqrfcprowebl28","tqrfcprowebl29","tqrfcprowebl30","tqrfcprowebl31","tqrfcprowebl32","tqrfcprowebl34","tqrfcprowebl35","tqrfcprowebl36","tqrfcprowebl37","tqrfcprowebl38","tqrfcprowebl39","tqrfcprowebl40","tqrfcprowebl42","tqrfcprowebl43","tqrfcprowebl44","tqrfcprowebl45","tqrfcprowebl46","tqrfcprowebl47","tqrfcprowebl48","tqrfcprowebl49","tqrfcprowebl50","tqrfcprowebl51","tqrfcprowebl52","tqrfcprowebl53","tqrfcprowebl54","tqrfcprowebl55","tqrfcprowebl56","tqrfcprowebl57","tqrfcprowebl58","tqrfcprowebl65","tqrfcprowebl82","tqrfcprowebl83","tqrfcprowebl84"
"2017-05-07 03:21:00",40,53,47,0,0,72,0,84,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,10,0,0,7,1,0
"2017-05-07 03:24:00",62,65,52,0,0,72,0,83,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,6,0,16,1,6,10,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,7,0,10
"2017-05-07 03:27:00",54,56,48,0,0,72,0,83,82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,2,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,6,0,11,0
"2017-05-07 03:30:00",54,42,50,0,0,72,0,83,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,14,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0
"2017-05-07 03:33:00",91,79,74,0,0,72,0,84,83,0,0,6,8,0,6,6,8,8,6,8,0,6,6,0,0,0,0,0,0,1,0,0,0,0,0,4,6,0,7,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,13,1,0
"2017-05-07 03:36:00",73,54,38,0,0,72,0,83,83,0,0,6,8,0,30,22,8,6,30,6,0,30,22,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,16,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,4
"2017-05-07 03:39:00",41,47,0,0,0,72,0,83,84,0,0,16,6,0,12,12,6,24,8,8,0,4,14,0,0,0,0,0,1,1,0,0,0,0,1,8,11,12,1,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"2017-05-07 03:42:00",74,61,0,0,0,72,0,83,82,0,0,18,26,0,16,6,10,8,18,10,0,14,10,0,0,0,0,0,1,1,0,0,1,0,0,0,2,8,4,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,10,5,2,0
"2017-05-07 03:45:00",58,69,0,0,0,72,0,84,83,0,0,8,8,0,14,10,16,14,8,8,0,16,16,0,0,0,0,0,0,0,1,0,1,0,0,0,5,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0
"2017-05-07 03:48:00",54,55,0,51,0,72,0,83,85,0,0,16,24,0,24,24,16,16,16,32,0,26,32,4,0,0,0,0,1,0,0,0,0,0,0,5,0,3,8,0,14,7,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,2,0
